DailyActivity_Id,ActivityDate,dayOfWeek,TotalSteps,LiteActiveKM,ModerateActiveKM,VeryActiveKM,LiteActiveHR,ModerateActiveHR,VeryActiveHR,SedentaryHR,Calories,HoursAsleep,HoursInBed
1503960366,2016-04-12,Tuesday  ,13162,6.06,0.55,1.88,5.47,0.22,0.42,12.13,1985,5.45,5.77
1503960366,2016-04-13,Wednesday,10735,4.71,0.69,1.57,3.62,0.32,0.35,12.93,1797,6.4,6.78
1503960366,2016-04-15,Friday   ,9762,2.83,1.26,2.14,3.48,0.57,0.48,12.1,1745,6.87,7.37
1503960366,2016-04-16,Saturday ,12669,5.04,0.41,2.71,3.68,0.17,0.6,12.88,1863,5.67,6.12
1503960366,2016-04-17,Sunday   ,9705,2.51,0.78,3.19,2.73,0.33,0.63,8.98,1728,11.67,11.87
1503960366,2016-04-19,Tuesday  ,15506,5.03,1.32,3.53,4.4,0.52,0.83,12.92,2035,5.07,5.33
1503960366,2016-04-20,Wednesday,10544,4.24,0.48,1.96,3.42,0.2,0.47,13.63,1786,6,6.28
1503960366,2016-04-21,Thursday ,9819,4.65,0.35,1.34,3.52,0.13,0.32,13.97,1775,5.42,6.07
1503960366,2016-04-23,Saturday ,14371,5.36,0.87,2.81,4.37,0.35,0.68,12.2,1949,6.02,6.4
1503960366,2016-04-24,Sunday   ,10039,3.28,0.21,2.92,3.97,0.08,0.65,11.82,1788,7.17,7.48
1503960366,2016-04-25,Monday   ,15355,3.94,0.57,5.29,3.6,0.23,1.22,13.57,2013,4.62,5.38
1503960366,2016-04-26,Tuesday  ,13755,5.54,0.92,2.33,4.65,0.38,0.52,13.88,1970,4.08,4.57
1503960366,2016-04-28,Thursday ,13154,3.79,1.16,3.54,3.15,0.47,0.8,13.03,1898,6.1,6.55
1503960366,2016-04-29,Friday   ,11181,5.58,0.5,1.06,4.05,0.2,0.27,13.58,1837,5.68,5.9
1503960366,2016-04-30,Saturday ,14673,4.27,1.42,3.56,3.62,0.57,0.87,11.87,1947,6.73,7.08
1503960366,2016-05-01,Sunday   ,10602,2.92,1.6,2.29,4.1,0.58,0.55,12.17,1820,6.15,6.6
1503960366,2016-05-02,Monday   ,14727,5.92,0.57,3.21,4.62,0.25,0.68,13.3,2004,4.62,5.15
1503960366,2016-05-03,Tuesday  ,15103,4.88,1.05,3.73,4.23,0.4,0.83,13.6,1990,4.55,4.93
1503960366,2016-05-05,Thursday ,14070,4.88,1.08,2.92,4.17,0.4,0.75,14.28,1959,4.12,4.4
1503960366,2016-05-06,Friday   ,12159,5.81,0.25,1.97,4.82,0.1,0.4,12.57,1896,5.57,6.12
1503960366,2016-05-07,Saturday ,11992,3.13,2.12,2.46,2.92,0.77,0.62,13.88,1821,5.52,5.82
1503960366,2016-05-08,Sunday   ,10060,2.73,0.32,3.53,3.38,0.13,0.73,9.57,1740,9.9,10.18
1503960366,2016-05-09,Monday   ,12022,3.74,0.53,3.45,3.43,0.18,0.77,13.92,1819,5.63,5.7
1503960366,2016-05-10,Tuesday  ,12207,3.26,1.16,3.35,3.57,0.52,0.77,12.43,1859,6.38,6.72
1503960366,2016-05-11,Wednesday,12770,4.55,1.01,2.56,4.18,0.38,0.6,11.15,1783,4.75,5.1
1644430081,2016-04-29,Friday   ,3176,2.31,0,0,2,0,0,19.88,2498,1.98,2.12
1644430081,2016-04-30,Saturday ,18213,9.46,3.14,0.63,6.7,1.18,0.15,13.6,3846,2.07,2.37
1644430081,2016-05-08,Sunday   ,6724,4.88,0,0,4.92,0,0,16.52,2987,2.28,2.57
1927972279,2016-04-12,Tuesday  ,678,0.47,0,0,0.92,0,0,12.23,2220,12.5,12.92
1927972279,2016-04-13,Wednesday,356,0.25,0,0,0.53,0,0,16.43,2151,6.63,7.03
1927972279,2016-04-15,Friday   ,980,0.68,0,0,0.85,0,0,15.68,2221,7.92,8.32
1927972279,2016-04-26,Tuesday  ,3761,2.6,0,0,3.2,0,0,17.63,2638,4.93,5.25
1927972279,2016-04-28,Thursday ,1675,1.16,0,0,1.58,0,0,19.45,2351,2.77,2.97
2026352035,2016-04-12,Tuesday  ,4414,2.2,0.35,0.19,3.02,0.13,0.05,11.77,1459,8.38,9.1
2026352035,2016-04-13,Wednesday,4993,3.1,0,0,3.97,0,0,11.05,1521,8.85,9.42
2026352035,2016-04-14,Thursday ,3335,2.05,0,0,3.28,0,0,10.88,1431,9.08,9.47
2026352035,2016-04-15,Friday   ,3821,2.37,0,0,3.13,0,0,11.45,1444,8.72,9.55
2026352035,2016-04-16,Saturday ,2547,1.58,0,0,2.5,0,0,12.13,1373,8.73,9.45
2026352035,2016-04-17,Sunday   ,838,0.52,0,0,1,0,0,17.55,1214,7.28,8.3
2026352035,2016-04-19,Tuesday  ,2424,1.5,0,0,2.35,0,0,13.08,1356,8.3,9
2026352035,2016-04-20,Wednesday,7222,4.48,0,0,5.45,0,0,10.38,1667,7.68,8.5
2026352035,2016-04-21,Thursday ,2467,1.53,0,0,2.55,0,0,12.48,1370,7.95,8.57
2026352035,2016-04-22,Friday   ,2915,1.81,0,0,2.7,0,0,11.87,1399,8.67,9.08
2026352035,2016-04-23,Saturday ,12357,7.71,0,0,7.2,0,0,7.63,1916,8.7,9.23
2026352035,2016-04-24,Sunday   ,3490,2.16,0,0,2.73,0,0,11.73,1401,9.25,9.85
2026352035,2016-04-25,Monday   ,6017,3.73,0,0,4.33,0,0,13.68,1576,8.43,8.85
2026352035,2016-04-27,Wednesday,6088,3.77,0,0,4.77,0,0,9.77,1593,8.47,9.08
2026352035,2016-04-28,Thursday ,6375,3.95,0,0,5.52,0,0,10.43,1649,8.55,9.08
2026352035,2016-04-29,Friday   ,7604,4.71,0,0,5.87,0,0,8.2,1692,8.17,8.5
2026352035,2016-04-30,Saturday ,4729,2.93,0,0,3.88,0,0,9.9,1506,9.55,10.12
2026352035,2016-05-01,Sunday   ,3609,2.28,0,0,3.18,0,0,11.93,1447,8.78,9.1
2026352035,2016-05-02,Monday   ,7018,4.35,0,0,5.92,0,0,11.93,1690,8.52,9.05
2026352035,2016-05-04,Wednesday,6564,4.07,0,0,5.75,0,0,8.83,1658,8.97,9.33
2026352035,2016-05-05,Thursday ,12167,7.54,0,0,7.92,0,0,7.98,1926,7.8,8.08
2026352035,2016-05-06,Friday   ,8198,5.08,0,0,6.38,0,0,8.52,1736,8.73,9.13
2026352035,2016-05-07,Saturday ,4193,2.6,0,0,3.82,0,0,11.08,1491,8.52,8.68
2026352035,2016-05-08,Sunday   ,5528,3.45,0,0,4.3,0,0,10.17,1555,9.02,9.47
2026352035,2016-05-09,Monday   ,10685,6.6,0,0,6.68,0,0,9.05,1869,8.85,9.27
2026352035,2016-05-10,Tuesday  ,254,0.16,0,0,0.28,0,0,16.7,1141,5.95,6.33
2026352035,2016-05-11,Wednesday,8580,5.32,0,0,5.5,0,0,9.48,1698,8.72,9.22
2026352035,2016-05-12,Thursday ,8891,5.51,0,0,5.72,0,0,5.5,1364,7.6,8.08
2320127002,2016-04-23,Saturday ,5079,3.42,0,0,4.03,0,0,18.82,1804,1.02,1.15
2347167796,2016-04-13,Wednesday,10352,3.41,1.94,1.66,3.25,0.53,0.32,11.27,2038,7.78,8.85
2347167796,2016-04-14,Thursday ,10129,3.94,2.74,0.02,3.43,0.8,0.02,11.75,2010,7.42,8.15
2347167796,2016-04-15,Friday   ,10465,5.43,1.42,0.07,4.73,0.4,0.02,12,2133,7.53,8.4
2347167796,2016-04-17,Sunday   ,5472,3.26,0.28,0.08,4.15,0.12,0.02,8.47,1882,9.27,10.03
2347167796,2016-04-18,Monday   ,8247,3.79,0.86,0.79,3.43,0.27,0.18,11.3,1944,8.33,9.28
2347167796,2016-04-19,Tuesday  ,6711,4.44,0,0,6.37,0.12,0,10.8,2346,7.75,8.57
2347167796,2016-04-21,Thursday ,10080,3.38,1.53,1.85,3.47,0.43,0.38,12.68,2048,7.67,8.07
2347167796,2016-04-22,Friday   ,7804,2.92,1.68,0.56,3.43,0.45,0.15,13.02,1946,6.75,7.68
2347167796,2016-04-23,Saturday ,16901,7.15,1.45,2.78,6,0.58,0.53,9.85,2629,6.23,6.43
2347167796,2016-04-24,Sunday   ,9471,6.26,0,0,6,0,0,9.73,2187,7.37,7.65
2347167796,2016-04-25,Monday   ,9482,4.6,0.52,1.27,4.62,0.18,0.25,10.88,2095,7.22,7.85
2347167796,2016-04-26,Tuesday  ,5980,3.95,0,0,3.78,0,0,12.2,1861,7.27,8.17
2347167796,2016-04-27,Wednesday,11423,5.32,0.4,1.86,4.92,0.15,0.43,10.38,2194,7.47,8.32
2347167796,2016-04-28,Thursday ,5439,3.6,0,0,3.82,0,0,12.73,1854,6.8,7.5
3977333714,2016-04-12,Tuesday  ,8856,2.01,0.91,3.06,2.18,0.32,0.73,12.95,1450,4.57,7.82
3977333714,2016-04-13,Wednesday,10035,2.55,2.13,2.03,2.55,0.77,0.52,12.57,1495,4.92,7.6
3977333714,2016-04-14,Thursday ,7641,3.82,0.97,0.32,3.57,0.38,0.08,13.35,1433,4.85,6.62
3977333714,2016-04-15,Friday   ,9010,3.26,1.75,1.05,3.05,0.7,0.25,10.73,1468,7.07,9.27
3977333714,2016-04-16,Saturday ,13459,2.97,4,2.03,2.55,1.38,0.52,11.05,1625,4.72,8.5
