Id,ActivityDate,TotalSteps,TrackerKM,VeryActiveKM,ModerateActiveKM,LiteActiveKM,VeryActiveHR,ModerateActiveHR,LiteActiveHR,SedentaryHR,Calories,dayOfWeek
1503960366,2016-04-12,13162,8.5,1.88,0.55,6.06,0.42,0.22,5.47,12.13,1985,Tuesday  
1503960366,2016-04-13,10735,6.97,1.57,0.69,4.71,0.35,0.32,3.62,12.93,1797,Wednesday
1503960366,2016-04-14,10460,6.74,2.44,0.4,3.91,0.5,0.18,3.02,20.3,1776,Thursday 
1503960366,2016-04-15,9762,6.28,2.14,1.26,2.83,0.48,0.57,3.48,12.1,1745,Friday   
1503960366,2016-04-16,12669,8.16,2.71,0.41,5.04,0.6,0.17,3.68,12.88,1863,Saturday 
1503960366,2016-04-17,9705,6.48,3.19,0.78,2.51,0.63,0.33,2.73,8.98,1728,Sunday   
1503960366,2016-04-18,13019,8.59,3.25,0.64,4.71,0.7,0.27,3.88,19.15,1921,Monday   
1503960366,2016-04-19,15506,9.88,3.53,1.32,5.03,0.83,0.52,4.4,12.92,2035,Tuesday  
1503960366,2016-04-20,10544,6.68,1.96,0.48,4.24,0.47,0.2,3.42,13.63,1786,Wednesday
1503960366,2016-04-21,9819,6.34,1.34,0.35,4.65,0.32,0.13,3.52,13.97,1775,Thursday 
1503960366,2016-04-22,12764,8.13,4.76,1.12,2.24,1.1,0.45,2.17,20.28,1827,Friday   
1503960366,2016-04-23,14371,9.04,2.81,0.87,5.36,0.68,0.35,4.37,12.2,1949,Saturday 
1503960366,2016-04-24,10039,6.41,2.92,0.21,3.28,0.65,0.08,3.97,11.82,1788,Sunday   
1503960366,2016-04-25,15355,9.8,5.29,0.57,3.94,1.22,0.23,3.6,13.57,2013,Monday   
1503960366,2016-04-26,13755,8.79,2.33,0.92,5.54,0.52,0.38,4.65,13.88,1970,Tuesday  
1503960366,2016-04-27,18134,12.21,6.4,0.41,5.41,1.3,0.18,4.05,18.47,2159,Wednesday
1503960366,2016-04-28,13154,8.53,3.54,1.16,3.79,0.8,0.47,3.15,13.03,1898,Thursday 
1503960366,2016-04-29,11181,7.15,1.06,0.5,5.58,0.27,0.2,4.05,13.58,1837,Friday   
1503960366,2016-04-30,14673,9.25,3.56,1.42,4.27,0.87,0.57,3.62,11.87,1947,Saturday 
1503960366,2016-05-01,10602,6.81,2.29,1.6,2.92,0.55,0.58,4.1,12.17,1820,Sunday   
1503960366,2016-05-02,14727,9.71,3.21,0.57,5.92,0.68,0.25,4.62,13.3,2004,Monday   
1503960366,2016-05-03,15103,9.66,3.73,1.05,4.88,0.83,0.4,4.23,13.6,1990,Tuesday  
1503960366,2016-05-04,11100,7.15,2.46,0.87,3.82,0.6,0.37,3.38,19.65,1819,Wednesday
1503960366,2016-05-05,14070,8.9,2.92,1.08,4.88,0.75,0.4,4.17,14.28,1959,Thursday 
1503960366,2016-05-06,12159,8.03,1.97,0.25,5.81,0.4,0.1,4.82,12.57,1896,Friday   
1503960366,2016-05-07,11992,7.71,2.46,2.12,3.13,0.62,0.77,2.92,13.88,1821,Saturday 
1503960366,2016-05-08,10060,6.58,3.53,0.32,2.73,0.73,0.13,3.38,9.57,1740,Sunday   
1503960366,2016-05-09,12022,7.72,3.45,0.53,3.74,0.77,0.18,3.43,13.92,1819,Monday   
1503960366,2016-05-10,12207,7.77,3.35,1.16,3.26,0.77,0.52,3.57,12.43,1859,Tuesday  
1503960366,2016-05-11,12770,8.13,2.56,1.01,4.55,0.6,0.38,4.18,11.15,1783,Wednesday
1624580081,2016-04-12,8163,5.31,0,0,5.31,0,0,2.43,21.57,1432,Tuesday  
1624580081,2016-04-13,7007,4.55,0,0,4.55,0,0,2.47,21.53,1411,Wednesday
1624580081,2016-04-14,9107,5.92,0,0,5.91,0,0,3.93,20.07,1572,Thursday 
1624580081,2016-04-15,1510,0.98,0,0,0.97,0,0,1.6,22.4,1344,Friday   
1624580081,2016-04-16,5370,3.49,0,0,3.49,0,0,2.93,21.07,1463,Saturday 
1624580081,2016-04-17,6175,4.06,1.03,1.52,1.49,0.25,0.37,2.12,21.27,1554,Sunday   
1624580081,2016-04-18,10536,7.41,2.15,0.62,4.62,0.28,0.12,3.37,20.23,1604,Monday   
1624580081,2016-04-19,2916,1.9,0,0,1.9,0,0,2.35,21.65,1435,Tuesday  
