Id,SleepDay,TotalSleepRecords,HoursAsleep,HoursInBed,dayOfWeek
1503960366,2016-04-12,1,5.45,5.77,Tuesday  
1503960366,2016-04-13,2,6.4,6.78,Wednesday
1503960366,2016-04-15,1,6.87,7.37,Friday   
1503960366,2016-04-16,2,5.67,6.12,Saturday 
1503960366,2016-04-17,1,11.67,11.87,Sunday   
1503960366,2016-04-19,1,5.07,5.33,Tuesday  
1503960366,2016-04-20,1,6,6.28,Wednesday
1503960366,2016-04-21,1,5.42,6.07,Thursday 
1503960366,2016-04-23,1,6.02,6.4,Saturday 
1503960366,2016-04-24,1,7.17,7.48,Sunday   
1503960366,2016-04-25,1,4.62,5.38,Monday   
1503960366,2016-04-26,1,4.08,4.57,Tuesday  
1503960366,2016-04-28,1,6.1,6.55,Thursday 
1503960366,2016-04-29,1,5.68,5.9,Friday   
1503960366,2016-04-30,1,6.73,7.08,Saturday 
1503960366,2016-05-01,1,6.15,6.6,Sunday   
1503960366,2016-05-02,1,4.62,5.15,Monday   
1503960366,2016-05-03,1,4.55,4.93,Tuesday  
1503960366,2016-05-05,1,4.12,4.4,Thursday 
1503960366,2016-05-06,1,5.57,6.12,Friday   
1503960366,2016-05-07,1,5.52,5.82,Saturday 
1503960366,2016-05-08,1,9.9,10.18,Sunday   
1503960366,2016-05-09,1,5.63,5.7,Monday   
1503960366,2016-05-10,1,6.38,6.72,Tuesday  
1503960366,2016-05-11,1,4.75,5.1,Wednesday
1644430081,2016-04-29,1,1.98,2.12,Friday   
1644430081,2016-04-30,1,2.07,2.37,Saturday 
1644430081,2016-05-08,1,2.28,2.57,Sunday   
1927972279,2016-04-12,3,12.5,12.92,Tuesday  
1927972279,2016-04-13,1,6.63,7.03,Wednesday
1927972279,2016-04-15,2,7.92,8.32,Friday   
1927972279,2016-04-26,1,4.93,5.25,Tuesday  
1927972279,2016-04-28,1,2.77,2.97,Thursday 
2026352035,2016-04-12,1,8.38,9.1,Tuesday  
2026352035,2016-04-13,1,8.85,9.42,Wednesday
2026352035,2016-04-14,1,9.08,9.47,Thursday 
2026352035,2016-04-15,1,8.72,9.55,Friday   
2026352035,2016-04-16,1,8.73,9.45,Saturday 
2026352035,2016-04-17,1,7.28,8.3,Sunday   
2026352035,2016-04-19,1,8.3,9,Tuesday  
2026352035,2016-04-20,1,7.68,8.5,Wednesday
2026352035,2016-04-21,1,7.95,8.57,Thursday 
2026352035,2016-04-22,1,8.67,9.08,Friday   
2026352035,2016-04-23,1,8.7,9.23,Saturday 
2026352035,2016-04-24,1,9.25,9.85,Sunday   
2026352035,2016-04-25,1,8.43,8.85,Monday   
2026352035,2016-04-27,1,8.47,9.08,Wednesday
2026352035,2016-04-28,1,8.55,9.08,Thursday 
